"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1630,"1","2024-01-30T09:30:59.204429Z",1731,"[{""start"":0,""end"":6,""text"":""鸡肌胃糜烂症"",""labels"":[""disease""]},{""start"":8,""end"":13,""text"":""肌胃腐蚀症"",""labels"":[""disease""]},{""start"":14,""end"":18,""text"":""肌胃溃疡"",""labels"":[""disease""]},{""start"":19,""end"":24,""text"":""黑色呕吐病"",""labels"":[""disease""]},{""start"":25,""end"":28,""text"":""黑胃病"",""labels"":[""disease""]},{""start"":44,""end"":50,""text"":""非传染性疾病"",""labels"":[""type""]},{""start"":30,""end"":31,""text"":""鸡"",""labels"":[""type""]},{""start"":37,""end"":41,""text"":""胃肠出血"",""labels"":[""pathology""]},{""start"":37,""end"":39,""text"":""胃肠"",""labels"":[""bodypart""]},{""start"":39,""end"":41,""text"":""出血"",""labels"":[""pathology""]},{""start"":56,""end"":58,""text"":""肉鸡"",""labels"":[""type""]},{""start"":62,""end"":64,""text"":""蛋鸡"",""labels"":[""type""]}]",58.182,"鸡肌胃糜烂症亦称肌胃腐蚀症、肌胃溃疡、黑色呕吐病、黑胃病，是鸡的一种与人的胃肠出血相似的非传染性疾病，主要发生于肉鸡，其次是蛋鸡和鸭。","2024-01-30T09:30:59.204429Z"
1631,"1","2024-01-30T13:32:32.482202Z",1732,"[{""start"":4,""end"":6,""text"":""雏鸡"",""labels"":[""type""]},{""start"":24,""end"":25,""text"":""鸡"",""labels"":[""type""]},{""start"":25,""end"":30,""text"":""呕吐黑色物"",""labels"":[""symptom""]},{""start"":27,""end"":29,""text"":""黑色"",""labels"":[""symptom""]},{""start"":31,""end"":37,""text"":""肌胃黏膜损伤"",""labels"":[""symptom""]},{""start"":35,""end"":37,""text"":""损伤"",""labels"":[""symptom""]},{""start"":44,""end"":48,""text"":""表层糜烂"",""labels"":[""pathology""]},{""start"":49,""end"":54,""text"":""广泛的溃疡"",""labels"":[""pathology""]},{""start"":57,""end"":59,""text"":""出血"",""labels"":[""pathology""]},{""start"":61,""end"":64,""text"":""散发性"",""labels"":[""pathology""]},{""start"":31,""end"":35,""text"":""肌胃黏膜"",""labels"":[""bodypart""]}]",14491.748,"多发生于雏鸡，发病年龄多在2~6周龄。临床特征是鸡呕吐黑色物，肌胃黏膜损伤，病变由轻度的表层糜烂到广泛的溃疡形成和出血，呈散发性，死亡率有时高达20%。","2024-01-30T13:32:32.482202Z"
1632,"1","2024-01-30T13:32:40.229225Z",1733,"[{""start"":18,""end"":24,""text"":""鸡肌胃糜烂症"",""labels"":[""disease""]}]",5.735,"饲料中鱼粉添加比例过高或质量低是引起鸡肌胃糜烂症的原因","2024-01-30T13:32:40.229225Z"
1633,"1","2024-01-30T13:32:54.582039Z",1734,"[{""start"":5,""end"":9,""text"":""肉用仔鸡"",""labels"":[""type""]},{""start"":27,""end"":31,""text"":""肌胃糜烂"",""labels"":[""pathology""]},{""start"":29,""end"":31,""text"":""糜烂"",""labels"":[""pathology""]},{""start"":32,""end"":34,""text"":""溃疡"",""labels"":[""pathology""]},{""start"":35,""end"":37,""text"":""坏死"",""labels"":[""pathology""]},{""start"":27,""end"":29,""text"":""肌胃"",""labels"":[""bodypart""]}]",20.187,"。据报道，肉用仔鸡日粮中含有鱼粉量超过12%时即可引起肌胃糜烂、溃疡和坏死，尚未发现8%以下发病的。但后来的研究发现。","2024-01-31T16:09:09.725049Z"
1634,"1","2024-01-30T14:00:11.783902Z",1735,"[{""start"":11,""end"":15,""text"":""肌胃糜烂"",""labels"":[""pathology""]},{""start"":13,""end"":15,""text"":""糜烂"",""labels"":[""pathology""]},{""start"":33,""end"":39,""text"":""鸡肌胃糜烂症"",""labels"":[""disease""]},{""start"":61,""end"":67,""text"":""鸡肌胃糜烂症"",""labels"":[""disease""]},{""start"":55,""end"":59,""text"":""霉菌毒素"",""labels"":[""disease""]},{""start"":49,""end"":54,""text"":""维生素缺乏"",""labels"":[""disease""]},{""start"":11,""end"":13,""text"":""肌胃"",""labels"":[""bodypart""]}]",862.556,"并非所有的鱼粉都会引起肌胃糜烂。近来的研究还表明，鱼粉的变质是引起鸡肌胃糜烂症的直接诱因.饲料中的维生素缺乏和霉菌毒素也与鸡肌胃糜烂症有关。","2024-01-31T16:09:20.366571Z"
1635,"1","2024-01-30T14:00:34.767931Z",1736,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":5,""end"":9,""text"":""食欲减退"",""labels"":[""symptom""]},{""start"":13,""end"":17,""text"":""精神不振"",""labels"":[""symptom""]},{""start"":18,""end"":20,""text"":""瞌睡"",""labels"":[""symptom""]},{""start"":21,""end"":25,""text"":""闭眼缩颈"",""labels"":[""symptom""]},{""start"":26,""end"":30,""text"":""步态不稳"",""labels"":[""symptom""]},{""start"":31,""end"":35,""text"":""羽毛松乱"",""labels"":[""symptom""]},{""start"":33,""end"":35,""text"":""松乱"",""labels"":[""symptom""]},{""start"":31,""end"":33,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":22,""end"":23,""text"":""眼"",""labels"":[""bodypart""]},{""start"":24,""end"":25,""text"":""颈"",""labels"":[""bodypart""]}]",21.777,"病鸡表现为食欲减退或消失，精神不振，瞌睡，闭眼缩颈，步态不稳，羽毛松乱。","2024-01-30T14:00:34.767931Z"
1636,"1","2024-01-30T14:01:04.751707Z",1737,"[{""start"":3,""end"":7,""text"":""肉髯发绀"",""labels"":[""pathology""]},{""start"":5,""end"":7,""text"":""发绀"",""labels"":[""pathology""]},{""start"":8,""end"":12,""text"":""贫血苍白"",""labels"":[""pathology""]},{""start"":15,""end"":19,""text"":""嗦囊胀满"",""labels"":[""pathology""]},{""start"":17,""end"":19,""text"":""胀满"",""labels"":[""pathology""]},{""start"":27,""end"":30,""text"":""淡黑色"",""labels"":[""pathology""]},{""start"":23,""end"":26,""text"":""淡褐色"",""labels"":[""pathology""]},{""start"":36,""end"":40,""text"":""黑嗦子病"",""labels"":[""disease""]},{""start"":13,""end"":15,""text"":""病鸡"",""labels"":[""type""]},{""start"":0,""end"":2,""text"":""鸡冠"",""labels"":[""bodypart""]},{""start"":3,""end"":5,""text"":""肉髯"",""labels"":[""bodypart""]},{""start"":15,""end"":17,""text"":""嗦囊"",""labels"":[""bodypart""]}]",27.48,"鸡冠、肉髯发绀或贫血苍白。病鸡嗦囊胀满，外观呈淡褐色或淡黑色，故常称为“黑嗦子病”。","2024-01-30T14:01:04.751707Z"
1637,"1","2024-01-30T14:01:38.389078Z",1738,"[{""start"":2,""end"":4,""text"":""病鸡"",""labels"":[""type""]},{""start"":9,""end"":11,""text"":""病鸡"",""labels"":[""type""]},{""start"":11,""end"":13,""text"":""嗦囊"",""labels"":[""bodypart""]},{""start"":17,""end"":26,""text"":""黑褐色稀薄的水样物"",""labels"":[""pathology""]},{""start"":51,""end"":57,""text"":""黑褐色物残留"",""labels"":[""pathology""]},{""start"":41,""end"":44,""text"":""死亡鸡"",""labels"":[""type""]},{""start"":27,""end"":29,""text"":""口腔"",""labels"":[""bodypart""]},{""start"":36,""end"":39,""text"":""黑吐病"",""labels"":[""disease""]},{""start"":17,""end"":20,""text"":""黑褐色"",""labels"":[""pathology""]},{""start"":51,""end"":54,""text"":""黑褐色"",""labels"":[""pathology""]}]",287.726,"倒提病鸡或用手挤压病鸡嗦囊，可见有黑褐色稀薄的水样物从口腔中流出，故称“黑吐病”。死亡鸡口腔中也可见有黑褐色物残留。","2024-01-31T16:13:47.785712Z"
1638,"1","2024-01-30T14:02:25.207851Z",1739,"[{""start"":0,""end"":3,""text"":""病死鸡"",""labels"":[""type""]},{""start"":5,""end"":9,""text"":""全身消瘦"",""labels"":[""pathology""]},{""start"":10,""end"":14,""text"":""肌肉苍白"",""labels"":[""pathology""]},{""start"":12,""end"":14,""text"":""苍白"",""labels"":[""pathology""]},{""start"":15,""end"":19,""text"":""嗦囊扩张"",""labels"":[""pathology""]},{""start"":17,""end"":19,""text"":""扩张"",""labels"":[""pathology""]},{""start"":29,""end"":40,""text"":""十二指肠内容物呈棕黑色"",""labels"":[""pathology""]},{""start"":37,""end"":40,""text"":""棕黑色"",""labels"":[""pathology""]},{""start"":41,""end"":43,""text"":""黏稠"",""labels"":[""pathology""]},{""start"":10,""end"":12,""text"":""肌肉"",""labels"":[""bodypart""]},{""start"":15,""end"":17,""text"":""嗦囊"",""labels"":[""bodypart""]},{""start"":20,""end"":22,""text"":""嗦囊"",""labels"":[""bodypart""]},{""start"":23,""end"":25,""text"":""腺胃"",""labels"":[""bodypart""]},{""start"":26,""end"":28,""text"":""肌胃"",""labels"":[""bodypart""]},{""start"":29,""end"":33,""text"":""十二指肠"",""labels"":[""bodypart""]}]",45.073,"病死鸡可见全身消瘦，肌肉苍白，嗦囊扩张，嗦囊、腺胃、肌胃和十二指肠内容物呈棕黑色、黏稠。","2024-01-30T14:02:25.207851Z"
1639,"1","2024-01-30T14:02:54.681563Z",1740,"[{""start"":0,""end"":4,""text"":""腺胃扩张"",""labels"":[""pathology""]},{""start"":2,""end"":4,""text"":""扩张"",""labels"":[""pathology""]},{""start"":5,""end"":9,""text"":""胃壁迟缓"",""labels"":[""pathology""]},{""start"":7,""end"":9,""text"":""迟缓"",""labels"":[""pathology""]},{""start"":10,""end"":14,""text"":""黏膜脱落"",""labels"":[""pathology""]},{""start"":12,""end"":14,""text"":""脱落"",""labels"":[""pathology""]},{""start"":15,""end"":24,""text"":""肌胃角质膜颜色变深"",""labels"":[""pathology""]},{""start"":26,""end"":29,""text"":""暗绿色"",""labels"":[""pathology""]},{""start"":30,""end"":32,""text"":""黑色"",""labels"":[""pathology""]},{""start"":33,""end"":37,""text"":""表面粗糙"",""labels"":[""pathology""]},{""start"":38,""end"":44,""text"":""外观呈树皮样"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""腺胃"",""labels"":[""bodypart""]},{""start"":5,""end"":7,""text"":""胃壁"",""labels"":[""bodypart""]},{""start"":10,""end"":12,""text"":""黏膜"",""labels"":[""bodypart""]},{""start"":15,""end"":20,""text"":""肌胃角质膜"",""labels"":[""bodypart""]},{""start"":20,""end"":24,""text"":""颜色变深"",""labels"":[""pathology""]}]",32.019999999999996,"腺胃扩张，胃壁迟缓，黏膜脱落。肌胃角质膜颜色变深，呈暗绿色或黑色，表面粗糙，外观呈树皮样。","2024-01-30T14:03:01.578941Z"
1640,"1","2024-01-30T14:03:43.488630Z",1741,"[{""start"":28,""end"":30,""text"":""糜烂"",""labels"":[""pathology""]},{""start"":31,""end"":33,""text"":""溃疡"",""labels"":[""pathology""]},{""start"":34,""end"":43,""text"":""溃疡灶深部有出血斑"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""腺胃"",""labels"":[""bodypart""]},{""start"":3,""end"":5,""text"":""肌胃"",""labels"":[""bodypart""]},{""start"":12,""end"":16,""text"":""肌胃中区"",""labels"":[""bodypart""]},{""start"":17,""end"":21,""text"":""肌胃后区"",""labels"":[""bodypart""]}]",40.434,"腺胃与肌胃交界处稍下方至肌胃中区及肌胃后区常见不同程度的糜烂或溃疡，溃疡灶深部有出血斑。","2024-01-30T14:03:43.488630Z"
1641,"1","2024-01-30T14:04:19.508423Z",1742,"[{""start"":0,""end"":13,""text"":""肌胃内容物呈暗绿色或黑褐色"",""labels"":[""pathology""]},{""start"":10,""end"":13,""text"":""黑褐色"",""labels"":[""pathology""]},{""start"":6,""end"":9,""text"":""暗绿色"",""labels"":[""pathology""]},{""start"":14,""end"":25,""text"":""混有多量的黑褐色水样物"",""labels"":[""pathology""]},{""start"":19,""end"":22,""text"":""黑褐色"",""labels"":[""pathology""]},{""start"":31,""end"":37,""text"":""盲肠肠壁变薄"",""labels"":[""pathology""]},{""start"":41,""end"":47,""text"":""黏膜上皮脱落"",""labels"":[""pathology""]},{""start"":45,""end"":47,""text"":""脱落"",""labels"":[""pathology""]},{""start"":50,""end"":52,""text"":""充血"",""labels"":[""pathology""]},{""start"":53,""end"":55,""text"":""出血"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""肌胃"",""labels"":[""bodypart""]},{""start"":26,""end"":30,""text"":""十二指肠"",""labels"":[""bodypart""]},{""start"":31,""end"":35,""text"":""盲肠肠壁"",""labels"":[""bodypart""]},{""start"":41,""end"":45,""text"":""黏膜上皮"",""labels"":[""bodypart""]},{""start"":35,""end"":37,""text"":""变薄"",""labels"":[""pathology""]},{""start"":38,""end"":40,""text"":""增厚"",""labels"":[""pathology""]}]",53.31700000000001,"肌胃内容物呈暗绿色或黑褐色并混有多量的黑褐色水样物。十二指肠、盲肠肠壁变薄或增厚，黏膜上皮脱落，并有充血或出血。","2024-01-31T16:15:51.386722Z"
1642,"1","2024-01-30T14:09:22.546163Z",1743,"[{""start"":11,""end"":15,""text"":""轻度炎症"",""labels"":[""pathology""]},{""start"":20,""end"":25,""text"":""脾色泽苍白"",""labels"":[""pathology""]},{""start"":23,""end"":25,""text"":""苍白"",""labels"":[""pathology""]},{""start"":26,""end"":28,""text"":""萎缩"",""labels"":[""pathology""]},{""start"":29,""end"":33,""text"":""胆囊扩张"",""labels"":[""pathology""]},{""start"":31,""end"":33,""text"":""扩张"",""labels"":[""pathology""]},{""start"":35,""end"":38,""text"":""暗绿色"",""labels"":[""pathology""]},{""start"":39,""end"":43,""text"":""肾多肿胀"",""labels"":[""pathology""]},{""start"":41,""end"":43,""text"":""肿胀"",""labels"":[""pathology""]},{""start"":44,""end"":46,""text"":""出血"",""labels"":[""pathology""]},{""start"":47,""end"":54,""text"":""泄殖腔黏膜充血"",""labels"":[""pathology""]},{""start"":52,""end"":54,""text"":""充血"",""labels"":[""pathology""]},{""start"":0,""end"":4,""text"":""小肠后段"",""labels"":[""bodypart""]},{""start"":5,""end"":7,""text"":""盲肠"",""labels"":[""bodypart""]},{""start"":8,""end"":10,""text"":""直肠"",""labels"":[""bodypart""]},{""start"":16,""end"":17,""text"":""心"",""labels"":[""bodypart""]},{""start"":18,""end"":19,""text"":""肝"",""labels"":[""bodypart""]},{""start"":20,""end"":21,""text"":""脾"",""labels"":[""bodypart""]},{""start"":29,""end"":31,""text"":""胆囊"",""labels"":[""bodypart""]},{""start"":39,""end"":40,""text"":""肾"",""labels"":[""bodypart""]},{""start"":47,""end"":52,""text"":""泄殖腔黏膜"",""labels"":[""bodypart""]}]",301.897,"小肠后段、盲肠和直肠有轻度炎症。心、肝、脾色泽苍白、萎缩，胆囊扩张，呈暗绿色。肾多肿胀、出血。泄殖腔黏膜充血。","2024-01-30T14:09:22.546163Z"
1643,"1","2024-01-30T14:09:35.532109Z",1744,"[{""start"":0,""end"":6,""text"":""控制鱼粉用量"",""labels"":[""control""]},{""start"":21,""end"":27,""text"":""保证鱼粉质量"",""labels"":[""control""]},{""start"":28,""end"":35,""text"":""鱼粉要妥善保管"",""labels"":[""control""]}]",11.508,"控制鱼粉用量，日粮中鱼粉含量应在8%以下。保证鱼粉质量，鱼粉要妥善保管和贮藏，防止霉变。","2024-01-30T14:09:35.532109Z"
