"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1867,"1","2024-02-01T14:57:29.488731Z",2007,"[{""start"":0,""end"":6,""text"":""鸡葡萄糖菌病"",""labels"":[""disease""]},{""start"":8,""end"":15,""text"":""金黄色葡萄球菌"",""labels"":[""disease""]},{""start"":29,""end"":35,""text"":""多发型传染病"",""labels"":[""disease""]},{""start"":25,""end"":26,""text"":""鸡"",""labels"":[""type""]}]",12.185,"鸡葡萄糖菌病是由金黄色葡萄球菌引起的各种日龄和品种鸡的一种多发型传染病。在生产实践中，往往由于发现晚，采取措施不及时，造成很大的经济损失。","2024-02-01T14:57:29.488731Z"
1868,"1","2024-02-01T14:57:42.260400Z",2008,"[{""start"":10,""end"":19,""text"":""鸡葡萄糖菌病病原体"",""labels"":[""disease""]},{""start"":20,""end"":27,""text"":""金黄色葡萄球菌"",""labels"":[""disease""]},{""start"":41,""end"":42,""text"":""鸡"",""labels"":[""type""]},{""start"":46,""end"":48,""text"":""羽毛"",""labels"":[""bodypart""]}]",11.529,"(一)流行病学特征：鸡葡萄糖菌病病原体为金黄色葡萄球菌，在自然条件下广泛存在，尤其鸡的体表、羽毛等，自然带菌现象非常普遍。","2024-02-01T14:57:42.260400Z"
1869,"1","2024-02-01T14:57:55.880590Z",2009,"[{""start"":8,""end"":9,""text"":""鸡"",""labels"":[""type""]},{""start"":28,""end"":30,""text"":""鸡体"",""labels"":[""type""]},{""start"":40,""end"":42,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":43,""end"":45,""text"":""黏膜"",""labels"":[""bodypart""]}]",12.446,"各种日龄和品种的鸡都有易感性。所以，当笼具、网具等因素使鸡体遭受机械性损伤时，使皮肤、黏膜完整性遭受破坏时，就成为发病诱因。","2024-02-01T14:57:55.880590Z"
1870,"1","2024-02-01T14:58:13.293213Z",2011,"[{""start"":24,""end"":29,""text"":""缺乏维生素"",""labels"":[""disease""]},{""start"":53,""end"":59,""text"":""鸡葡萄糖菌病"",""labels"":[""disease""]},{""start"":63,""end"":69,""text"":""鸡葡萄糖菌病"",""labels"":[""disease""]},{""start"":74,""end"":76,""text"":""鸡痘"",""labels"":[""disease""]}]",14.052,"此外，饲养管理不良，环境卫生差，如饲料配比不当，缺乏维生素、矿物质，拥挤、通风不良、氨味过浓等，都可以促进鸡葡萄糖菌病的发生。鸡葡萄糖菌病还可继发于鸡痘。","2024-02-01T14:58:13.293213Z"
1871,"1","2024-02-01T14:58:31.101952Z",2012,"[{""start"":0,""end"":2,""text"":""鸡痘"",""labels"":[""disease""]},{""start"":5,""end"":9,""text"":""皮肤损伤"",""labels"":[""symptom""]},{""start"":7,""end"":9,""text"":""损伤"",""labels"":[""symptom""]},{""start"":5,""end"":7,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":13,""end"":19,""text"":""鸡葡萄糖菌病"",""labels"":[""disease""]},{""start"":30,""end"":32,""text"":""鸡痘"",""labels"":[""disease""]}]",16.288,"鸡痘造成的皮肤损伤，常成为鸡葡萄糖菌病的感染途径，临床上见于鸡痘流行过程中或流行后期，使病情恶化，死亡率提高，损失严重。","2024-02-01T14:58:31.101952Z"
1872,"1","2024-02-01T14:58:41.586504Z",2013,"[{""start"":12,""end"":13,""text"":""鸡"",""labels"":[""type""]}]",8.372,"(二)临床症状：各种日龄鸡患病后所表现的临床症状有时相同，有时各异。","2024-02-01T14:58:41.587502Z"
1873,"1","2024-02-01T14:58:52.043363Z",2014,"[{""start"":0,""end"":4,""text"":""新生雏鸡"",""labels"":[""type""]},{""start"":8,""end"":11,""text"":""脐带炎"",""labels"":[""pathology""]},{""start"":13,""end"":18,""text"":""败血症经过"",""labels"":[""pathology""]},{""start"":19,""end"":23,""text"":""迅速死亡"",""labels"":[""pathology""]}]",8.676,"新生雏鸡常表现为脐带炎，呈败血症经过，迅速死亡。","2024-02-01T14:58:52.044327Z"
1874,"1","2024-02-01T14:59:50.090605Z",2015,"[{""start"":1,""end"":6,""text"":""败血症经过"",""labels"":[""pathology""]},{""start"":55,""end"":57,""text"":""湿润"",""labels"":[""pathology""]},{""start"":58,""end"":60,""text"":""肿胀"",""labels"":[""pathology""]},{""start"":61,""end"":64,""text"":""紫红色"",""labels"":[""pathology""]},{""start"":65,""end"":69,""text"":""皮下疏松"",""labels"":[""pathology""]},{""start"":67,""end"":69,""text"":""疏松"",""labels"":[""pathology""]},{""start"":70,""end"":78,""text"":""结缔组织中有积液"",""labels"":[""pathology""]},{""start"":76,""end"":78,""text"":""积液"",""labels"":[""pathology""]},{""start"":81,""end"":85,""text"":""有波动感"",""labels"":[""pathology""]},{""start"":86,""end"":96,""text"":""破溃后流出褐红色液体"",""labels"":[""pathology""]},{""start"":91,""end"":94,""text"":""褐红色"",""labels"":[""pathology""]},{""start"":12,""end"":16,""text"":""食欲下降"",""labels"":[""symptom""]},{""start"":17,""end"":21,""text"":""精神不振"",""labels"":[""symptom""]},{""start"":22,""end"":26,""text"":""缩颈呆立"",""labels"":[""symptom""]},{""start"":7,""end"":9,""text"":""病鸡"",""labels"":[""type""]},{""start"":23,""end"":24,""text"":""颈"",""labels"":[""bodypart""]},{""start"":37,""end"":40,""text"":""胸腹部"",""labels"":[""bodypart""]},{""start"":41,""end"":43,""text"":""头部"",""labels"":[""bodypart""]},{""start"":44,""end"":48,""text"":""四肢内侧"",""labels"":[""bodypart""]},{""start"":49,""end"":53,""text"":""趾部皮肤"",""labels"":[""bodypart""]},{""start"":65,""end"":67,""text"":""皮下"",""labels"":[""bodypart""]},{""start"":70,""end"":74,""text"":""结缔组织"",""labels"":[""bodypart""]}]",56.644,"呈败血症经过的病鸡，初期食欲下降，精神不振，缩颈呆立等一般症状，很快即可见胸腹部、头部、四肢内侧和趾部皮肤等处湿润、肿胀、紫红色、皮下疏松、结缔组织中有积液，触之有波动感。破溃后流出褐红色液体。","2024-02-01T14:59:50.090605Z"
1875,"1","2024-02-01T15:00:13.263485Z",2016,"[{""start"":22,""end"":24,""text"":""出血"",""labels"":[""pathology""]},{""start"":25,""end"":27,""text"":""糜烂"",""labels"":[""pathology""]},{""start"":28,""end"":32,""text"":""炎性坏死"",""labels"":[""pathology""]},{""start"":33,""end"":39,""text"":""局部干燥结痂"",""labels"":[""pathology""]},{""start"":41,""end"":44,""text"":""暗紫色"",""labels"":[""pathology""]},{""start"":3,""end"":5,""text"":""翅尖"",""labels"":[""bodypart""]},{""start"":6,""end"":8,""text"":""尾尖"",""labels"":[""bodypart""]},{""start"":9,""end"":11,""text"":""冠髯"",""labels"":[""bodypart""]},{""start"":12,""end"":14,""text"":""背部"",""labels"":[""bodypart""]},{""start"":15,""end"":17,""text"":""腿部"",""labels"":[""bodypart""]},{""start"":18,""end"":20,""text"":""皮肤"",""labels"":[""bodypart""]}]",21.604,"有时在翅尖、尾尖、冠髯、背部、腿部及皮肤发生出血、糜烂或炎性坏死，局部干燥结痂，呈暗紫色。","2024-02-01T15:00:13.263485Z"
1876,"1","2024-02-01T15:00:41.556956Z",2017,"[{""start"":0,""end"":6,""text"":""鸡葡萄糖菌病"",""labels"":[""disease""]},{""start"":11,""end"":15,""text"":""关节炎型"",""labels"":[""disease""]},{""start"":30,""end"":32,""text"":""肿胀"",""labels"":[""pathology""]},{""start"":33,""end"":37,""text"":""有热有痛"",""labels"":[""pathology""]},{""start"":38,""end"":42,""text"":""行走困难"",""labels"":[""pathology""]},{""start"":43,""end"":45,""text"":""跛行"",""labels"":[""pathology""]},{""start"":46,""end"":50,""text"":""蹲伏不动"",""labels"":[""pathology""]},{""start"":54,""end"":59,""text"":""痛苦的神态"",""labels"":[""pathology""]},{""start"":18,""end"":21,""text"":""跗关节"",""labels"":[""bodypart""]},{""start"":22,""end"":25,""text"":""肘关节"",""labels"":[""bodypart""]},{""start"":26,""end"":29,""text"":""趾关节"",""labels"":[""bodypart""]}]",26.762,"鸡葡萄糖菌病有时表现为关节炎型。可见跗关节、肘关节、趾关节等肿胀，有热有痛，行走困难、跛行或蹲伏不动，表现出痛苦的神态。","2024-02-01T15:00:41.556956Z"
1877,"1","2024-02-01T15:01:05.969893Z",2018,"[{""start"":8,""end"":14,""text"":""局部皮肤增厚"",""labels"":[""pathology""]},{""start"":15,""end"":17,""text"":""肿胀"",""labels"":[""pathology""]},{""start"":18,""end"":21,""text"":""紫红色"",""labels"":[""pathology""]},{""start"":12,""end"":14,""text"":""增厚"",""labels"":[""pathology""]},{""start"":30,""end"":35,""text"":""紫红色积液"",""labels"":[""pathology""]},{""start"":30,""end"":33,""text"":""紫红色"",""labels"":[""pathology""]},{""start"":8,""end"":12,""text"":""局部皮肤"",""labels"":[""bodypart""]},{""start"":22,""end"":24,""text"":""皮下"",""labels"":[""bodypart""]}]",22.722,"(三)剖检变化：局部皮肤增厚，肿胀，紫红色，皮下有数量不等的紫红色积液。","2024-02-01T15:01:05.969893Z"
1878,"1","2024-02-01T15:01:37.239412Z",2019,"[{""start"":0,""end"":7,""text"":""胸腹部肌肉出血"",""labels"":[""pathology""]},{""start"":5,""end"":7,""text"":""出血"",""labels"":[""pathology""]},{""start"":8,""end"":10,""text"":""溶血"",""labels"":[""pathology""]},{""start"":11,""end"":15,""text"":""红色深重"",""labels"":[""pathology""]},{""start"":37,""end"":47,""text"":""灰黄色胶冻样的水肿液"",""labels"":[""pathology""]},{""start"":37,""end"":40,""text"":""灰黄色"",""labels"":[""pathology""]},{""start"":11,""end"":13,""text"":""红色"",""labels"":[""pathology""]},{""start"":0,""end"":5,""text"":""胸腹部肌肉"",""labels"":[""bodypart""]},{""start"":25,""end"":28,""text"":""胸腹部"",""labels"":[""bodypart""]},{""start"":29,""end"":30,""text"":""腿"",""labels"":[""bodypart""]},{""start"":31,""end"":36,""text"":""翅内侧皮下"",""labels"":[""bodypart""]}]",29.151,"胸腹部肌肉出血、溶血，红色深重，如同红布一般。有的胸腹部或腿、翅内侧皮下有灰黄色胶冻样的水肿液。","2024-02-01T15:01:37.239412Z"
1879,"1","2024-02-01T15:02:35.015639Z",2020,"[{""start"":3,""end"":9,""text"":""多发性关节炎"",""labels"":[""pathology""]},{""start"":24,""end"":27,""text"":""浆液性"",""labels"":[""pathology""]},{""start"":28,""end"":38,""text"":""浆液性纤维素性渗出液"",""labels"":[""pathology""]},{""start"":43,""end"":45,""text"":""化脓"",""labels"":[""pathology""]},{""start"":46,""end"":52,""text"":""干酪样坏死物"",""labels"":[""pathology""]},{""start"":13,""end"":16,""text"":""关节囊"",""labels"":[""bodypart""]},{""start"":17,""end"":20,""text"":""滑液囊"",""labels"":[""bodypart""]},{""start"":21,""end"":23,""text"":""腱鞘"",""labels"":[""bodypart""]}]",56.063,"当发生多发性关节炎时，可见关节囊、滑液囊和腱鞘有浆液性或浆液性纤维素性渗出液，甚至可见化脓或干酪样坏死物。","2024-02-01T15:02:35.015639Z"
1880,"1","2024-02-01T15:02:43.350638Z",2021,"[{""start"":2,""end"":7,""text"":""关节软骨处"",""labels"":[""bodypart""]},{""start"":9,""end"":11,""text"":""糜烂"",""labels"":[""pathology""]},{""start"":12,""end"":16,""text"":""干酪样物"",""labels"":[""pathology""]}]",6.502,"有的关节软骨处出现糜烂和干酪样物。","2024-02-01T15:02:43.350638Z"
1881,"1","2024-02-01T15:02:51.663799Z",2022,"[{""start"":33,""end"":40,""text"":""革兰氏阳性球菌"",""labels"":[""disease""]}]",6.16,"(四)细菌镜检：取病变明显处的组织涂片、染色、镜检，可见大小均等的革兰氏阳性球菌，无荚膜、无芽孢、无鞭毛，多数呈葡萄状堆积。","2024-02-01T15:02:51.663799Z"
1882,"1","2024-02-01T15:03:20.821126Z",2023,"[{""start"":0,""end"":6,""text"":""加强饲养管理"",""labels"":[""control""]},{""start"":7,""end"":13,""text"":""保证全价营养"",""labels"":[""control""]},{""start"":14,""end"":20,""text"":""搞好环境卫生"",""labels"":[""control""]},{""start"":26,""end"":36,""text"":""过氧乙酸定期带鸡消毒"",""labels"":[""control""]},{""start"":37,""end"":43,""text"":""及时检修笼具"",""labels"":[""control""]},{""start"":44,""end"":48,""text"":""防止炸群"",""labels"":[""control""]},{""start"":49,""end"":58,""text"":""作好鸡痘的免疫工作"",""labels"":[""control""]},{""start"":26,""end"":30,""text"":""过氧乙酸"",""labels"":[""drug""]},{""start"":51,""end"":53,""text"":""鸡痘"",""labels"":[""disease""]},{""start"":33,""end"":34,""text"":""鸡"",""labels"":[""type""]}]",27.765,"加强饲养管理，保证全价营养，搞好环境卫生。用0.2%过氧乙酸定期带鸡消毒，及时检修笼具，防止炸群，作好鸡痘的免疫工作，这样可以大大减少发病机会。","2024-02-01T15:03:20.821126Z"
1883,"1","2024-02-01T15:03:34.000104Z",2024,"[{""start"":0,""end"":6,""text"":""注意观察鸡群"",""labels"":[""control""]},{""start"":4,""end"":6,""text"":""鸡群"",""labels"":[""type""]},{""start"":11,""end"":13,""text"":""病鸡"",""labels"":[""type""]}]",10.906,"注意观察鸡群，及早发现病鸡，早期治疗。","2024-02-01T15:03:34.000104Z"
1884,"1","2024-02-01T15:03:48.039701Z",2025,"[{""start"":12,""end"":16,""text"":""全群用药"",""labels"":[""control""]},{""start"":18,""end"":26,""text"":""口服抗生素类药物"",""labels"":[""control""]},{""start"":20,""end"":26,""text"":""抗生素类药物"",""labels"":[""drug""]},{""start"":28,""end"":31,""text"":""氟哌酸"",""labels"":[""drug""]},{""start"":34,""end"":36,""text"":""鸡体"",""labels"":[""type""]}]",12.442,"发病初期有食欲时，应立即全群用药，可口服抗生素类药物，如氟哌酸等，使鸡体内达到有效药物浓度；","2024-02-01T15:03:48.039701Z"
