"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1437,"1","2024-01-29T14:36:32.379539Z",1529,"[{""start"":0,""end"":7,""text"":""鸡蛋白质缺乏症"",""labels"":[""disease""]},{""start"":12,""end"":13,""text"":""鸡"",""labels"":[""type""]},{""start"":44,""end"":46,""text"":""鸡体"",""labels"":[""type""]},{""start"":64,""end"":66,""text"":""鸡体"",""labels"":[""type""]},{""start"":108,""end"":115,""text"":""鸡蛋白质缺乏症"",""labels"":[""disease""]}]",18.432,"鸡蛋白质缺乏症：蛋白质是鸡生命活动中不可缺少的一种重要营养物质，是构成机体的主要成分，是鸡体内酶类、激素、抗体的重要组成成分，是鸡体维持旺盛的新陈代谢、生长发育和繁殖以及保持健康十分重要的物质，蛋白质摄取不足，即发生鸡蛋白质缺乏症。","2024-01-29T14:36:32.379539Z"
1438,"1","2024-01-29T14:36:39.450552Z",1530,"[{""start"":34,""end"":41,""text"":""鸡蛋白质缺乏症"",""labels"":[""disease""]}]",5.342,"(1)日粮配比不当，蛋白质成分不足，尤其缺乏动物性蛋白质时，容易发生鸡蛋白质缺乏症。","2024-01-29T14:36:39.450552Z"
1439,"1","2024-01-29T14:36:49.724175Z",1531,"[{""start"":3,""end"":5,""text"":""鸡体"",""labels"":[""type""]},{""start"":50,""end"":56,""text"":""蛋白质缺乏症"",""labels"":[""disease""]}]",37.122,"(2)鸡体必需氨基酸，如精氨酸、赖氨酸、蛋氨酸供应不足，还会对其他氨基酸的吸收利用构成影响，也可造成蛋白质缺乏症。","2024-01-29T14:37:18.907095Z"
1440,"1","2024-01-29T14:37:44.213407Z",1532,"[{""start"":6,""end"":8,""text"":""雏鸡"",""labels"":[""type""]},{""start"":9,""end"":14,""text"":""产蛋高峰鸡"",""labels"":[""type""]},{""start"":28,""end"":35,""text"":""鸡蛋白质缺乏症"",""labels"":[""disease""]},{""start"":37,""end"":39,""text"":""雏鸡"",""labels"":[""type""]},{""start"":39,""end"":45,""text"":""生长发育受阻"",""labels"":[""symptom""]},{""start"":46,""end"":48,""text"":""怕冷"",""labels"":[""symptom""]},{""start"":49,""end"":54,""text"":""抵抗力低下"",""labels"":[""symptom""]}]",20.433,"2.临床症状雏鸡和产蛋高峰鸡对蛋白质的需要量大，容易发生鸡蛋白质缺乏症，使雏鸡生长发育受阻，怕冷，抵抗力低下，容易造成死亡；","2024-01-29T14:37:44.213407Z"
1441,"1","2024-01-29T14:37:55.957102Z",1533,"[{""start"":0,""end"":3,""text"":""成年鸡"",""labels"":[""type""]},{""start"":3,""end"":7,""text"":""体重减轻"",""labels"":[""symptom""]},{""start"":8,""end"":10,""text"":""贫血"",""labels"":[""symptom""]},{""start"":11,""end"":18,""text"":""产蛋率迅速下降"",""labels"":[""symptom""]},{""start"":20,""end"":22,""text"":""停产"",""labels"":[""symptom""]}]",9.825,"成年鸡体重减轻、贫血、产蛋率迅速下降直至停产。","2024-01-29T14:37:55.957102Z"
1442,"1","2024-01-29T14:38:37.250927Z",1534,"[{""start"":3,""end"":9,""text"":""血液性状改变"",""labels"":[""pathology""]},{""start"":5,""end"":9,""text"":""性状改变"",""labels"":[""pathology""]},{""start"":10,""end"":15,""text"":""渗透性加大"",""labels"":[""pathology""]},{""start"":20,""end"":22,""text"":""水肿"",""labels"":[""pathology""]},{""start"":36,""end"":40,""text"":""冠髯苍白"",""labels"":[""pathology""]},{""start"":38,""end"":40,""text"":""苍白"",""labels"":[""pathology""]},{""start"":41,""end"":47,""text"":""免疫机能不足"",""labels"":[""pathology""]},{""start"":48,""end"":54,""text"":""抗病能力降低"",""labels"":[""pathology""]},{""start"":55,""end"":64,""text"":""容易感染多种传染病"",""labels"":[""pathology""]},{""start"":16,""end"":18,""text"":""病鸡"",""labels"":[""type""]},{""start"":3,""end"":5,""text"":""血液"",""labels"":[""bodypart""]},{""start"":23,""end"":26,""text"":""红细胞"",""labels"":[""bodypart""]},{""start"":27,""end"":31,""text"":""血红蛋白"",""labels"":[""bodypart""]},{""start"":36,""end"":38,""text"":""冠髯"",""labels"":[""bodypart""]},{""start"":23,""end"":33,""text"":""红细胞与血红蛋白减少"",""labels"":[""pathology""]},{""start"":31,""end"":33,""text"":""减少"",""labels"":[""pathology""]}]",60.176,"此外，血液性状改变，渗透性加大，病鸡出现水肿，红细胞与血红蛋白减少，可见冠髯苍白，免疫机能不足，抗病能力降低，容易感染多种传染病。","2024-01-31T12:51:20.201887Z"
1443,"1","2024-01-29T14:39:15.434342Z",1535,"[{""start"":6,""end"":8,""text"":""鸡体"",""labels"":[""type""]},{""start"":8,""end"":10,""text"":""消瘦"",""labels"":[""pathology""]},{""start"":11,""end"":15,""text"":""肌肉萎缩"",""labels"":[""pathology""]},{""start"":13,""end"":15,""text"":""萎缩"",""labels"":[""pathology""]},{""start"":16,""end"":22,""text"":""脂肪胶样浸润"",""labels"":[""pathology""]},{""start"":23,""end"":27,""text"":""皮下水肿"",""labels"":[""pathology""]},{""start"":25,""end"":27,""text"":""水肿"",""labels"":[""pathology""]},{""start"":34,""end"":41,""text"":""心包腔中有积液"",""labels"":[""pathology""]},{""start"":39,""end"":41,""text"":""积液"",""labels"":[""pathology""]},{""start"":11,""end"":13,""text"":""肌肉"",""labels"":[""bodypart""]},{""start"":16,""end"":18,""text"":""脂肪"",""labels"":[""bodypart""]},{""start"":23,""end"":25,""text"":""皮下"",""labels"":[""bodypart""]},{""start"":28,""end"":30,""text"":""胸腔"",""labels"":[""bodypart""]},{""start"":31,""end"":33,""text"":""腹腔"",""labels"":[""bodypart""]},{""start"":18,""end"":22,""text"":""胶样浸润"",""labels"":[""pathology""]},{""start"":34,""end"":37,""text"":""心包腔"",""labels"":[""bodypart""]}]",53.569,"3.剖检变化鸡体消瘦，肌肉萎缩，脂肪胶样浸润，皮下水肿，胸腔、腹腔、心包腔中有积液。","2024-01-31T12:51:42.074691Z"
1444,"1","2024-01-29T14:39:52.643970Z",1536,"[{""start"":2,""end"":8,""text"":""合理配比日粮"",""labels"":[""control""]}]",3.625,"1.合理配比日粮，保证饲料中的蛋白质含量。","2024-01-29T14:39:52.643970Z"
1445,"1","2024-01-29T14:40:02.245272Z",1537,"[{""start"":3,""end"":4,""text"":""鸡"",""labels"":[""type""]},{""start"":28,""end"":30,""text"":""雏鸡"",""labels"":[""type""]},{""start"":37,""end"":39,""text"":""肉鸡"",""labels"":[""type""]},{""start"":40,""end"":43,""text"":""产蛋鸡"",""labels"":[""type""]}]",8.177,"要根据鸡的不同品种、不同日龄和生产性能满足蛋白质的需要，雏鸡应达到20%，肉鸡和产蛋鸡应达到16%～20%；其中动物性蛋白质应占到30%以上。","2024-01-29T14:40:02.245272Z"
1446,"1","2024-01-29T14:40:09.560142Z",1538,"[{""start"":23,""end"":36,""text"":""提高日粮中蛋白质的营养价值"",""labels"":[""control""]}]",5.848,"2.发病之后，补其所需，主要是蛋氨酸和赖氨酸，提高日粮中蛋白质的营养价值。","2024-01-29T14:40:09.560142Z"
