"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1549,"1","2024-01-29T15:22:07.161246Z",1644,"[{""start"":10,""end"":14,""text"":""鸡蛔虫病"",""labels"":[""disease""]},{""start"":19,""end"":23,""text"":""寄生虫病"",""labels"":[""disease""]},{""start"":15,""end"":16,""text"":""鸡"",""labels"":[""type""]},{""start"":31,""end"":32,""text"":""鸡"",""labels"":[""type""]},{""start"":35,""end"":38,""text"":""消化道"",""labels"":[""bodypart""]},{""start"":48,""end"":50,""text"":""小肠"",""labels"":[""bodypart""]},{""start"":54,""end"":57,""text"":""输卵管"",""labels"":[""bodypart""]}]",27.511,"(一)流行病学特征：鸡蛔虫病是鸡常见的寄生虫病之一，成虫寄生于鸡的整个消化道中，但最常见的部位是小肠，偶尔在输卵管中也可见到。","2024-01-29T15:22:07.161246Z"
1550,"1","2024-01-29T15:22:20.856392Z",1645,"[{""start"":10,""end"":13,""text"":""青年鸡"",""labels"":[""type""]},{""start"":17,""end"":18,""text"":""鸡"",""labels"":[""type""]},{""start"":23,""end"":24,""text"":""鸡"",""labels"":[""type""]},{""start"":35,""end"":37,""text"":""鸡体"",""labels"":[""type""]},{""start"":24,""end"":26,""text"":""肠道"",""labels"":[""bodypart""]}]",11.788,"主要危害2～4月龄的青年鸡。虫卵被鸡啄食后，在鸡肠道内发育为成虫，危害鸡体健康。","2024-01-29T15:22:20.856392Z"
1551,"1","2024-01-29T15:23:10.141527Z",1646,"[{""start"":8,""end"":10,""text"":""病鸡"",""labels"":[""type""]},{""start"":10,""end"":16,""text"":""精神委靡不振"",""labels"":[""pathology""]},{""start"":17,""end"":21,""text"":""营养不良"",""labels"":[""pathology""]},{""start"":22,""end"":26,""text"":""两翅下垂"",""labels"":[""pathology""]},{""start"":24,""end"":26,""text"":""下垂"",""labels"":[""pathology""]},{""start"":27,""end"":31,""text"":""羽毛蓬乱"",""labels"":[""pathology""]},{""start"":29,""end"":31,""text"":""蓬乱"",""labels"":[""pathology""]},{""start"":32,""end"":36,""text"":""消瘦贫血"",""labels"":[""pathology""]},{""start"":39,""end"":42,""text"":""髯苍白"",""labels"":[""pathology""]},{""start"":40,""end"":42,""text"":""苍白"",""labels"":[""pathology""]},{""start"":43,""end"":49,""text"":""消化机能紊乱"",""labels"":[""pathology""]},{""start"":52,""end"":54,""text"":""腹泻"",""labels"":[""pathology""]},{""start"":57,""end"":59,""text"":""便秘"",""labels"":[""pathology""]},{""start"":60,""end"":71,""text"":""稀粪中有时混有带血黏液"",""labels"":[""pathology""]},{""start"":67,""end"":71,""text"":""带血黏液"",""labels"":[""pathology""]},{""start"":22,""end"":24,""text"":""两翅"",""labels"":[""bodypart""]},{""start"":27,""end"":29,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":37,""end"":38,""text"":""冠"",""labels"":[""bodypart""]},{""start"":39,""end"":40,""text"":""髯"",""labels"":[""bodypart""]},{""start"":61,""end"":62,""text"":""粪"",""labels"":[""bodypart""]}]",47.351,"(二)临床症状：病鸡精神委靡不振，营养不良，两翅下垂，羽毛蓬乱，消瘦贫血，冠、髯苍白，消化机能紊乱，有时腹泻，有时便秘，稀粪中有时混有带血黏液。","2024-01-29T15:23:10.141527Z"
1552,"1","2024-01-29T15:23:27.667775Z",1647,"[{""start"":0,""end"":2,""text"":""幼鸡"",""labels"":[""type""]},{""start"":9,""end"":12,""text"":""成年鸡"",""labels"":[""type""]},{""start"":2,""end"":8,""text"":""生长发育缓慢"",""labels"":[""symptom""]},{""start"":12,""end"":17,""text"":""产蛋率下降"",""labels"":[""symptom""]}]",10.96,"幼鸡生长发育缓慢，成年鸡产蛋率下降。","2024-01-29T15:23:27.667775Z"
1553,"1","2024-01-29T15:24:07.354412Z",1648,"[{""start"":8,""end"":11,""text"":""病死鸡"",""labels"":[""type""]},{""start"":11,""end"":13,""text"":""消瘦"",""labels"":[""pathology""]},{""start"":14,""end"":16,""text"":""贫血"",""labels"":[""pathology""]},{""start"":17,""end"":23,""text"":""小肠黏膜充血"",""labels"":[""pathology""]},{""start"":21,""end"":23,""text"":""充血"",""labels"":[""pathology""]},{""start"":24,""end"":26,""text"":""肿胀"",""labels"":[""pathology""]},{""start"":30,""end"":32,""text"":""出血"",""labels"":[""pathology""]},{""start"":33,""end"":41,""text"":""肠道中有大量黏液"",""labels"":[""pathology""]},{""start"":37,""end"":41,""text"":""大量黏液"",""labels"":[""pathology""]},{""start"":43,""end"":46,""text"":""见虫体"",""labels"":[""pathology""]},{""start"":17,""end"":21,""text"":""小肠黏膜"",""labels"":[""bodypart""]},{""start"":33,""end"":35,""text"":""肠道"",""labels"":[""bodypart""]}]",36.764,"(三)剖检变化：病死鸡消瘦，贫血，小肠黏膜充血、肿胀，有时有出血，肠道中有大量黏液，并见虫体。","2024-01-29T15:24:07.354412Z"
1554,"1","2024-01-29T15:24:26.377402Z",1650,"[{""start"":36,""end"":38,""text"":""肠管"",""labels"":[""bodypart""]},{""start"":34,""end"":38,""text"":""堵塞肠管"",""labels"":[""symptom""]}]",7.938,"雄虫较短小，长2.5~7厘米，黄白色，尾部有尾翼。有时虫体拧集在一起堵塞肠管。","2024-01-31T14:28:34.464044Z"
1555,"1","2024-01-29T15:24:57.110880Z",1652,"[{""start"":0,""end"":6,""text"":""加强饲养管理"",""labels"":[""control""]},{""start"":7,""end"":19,""text"":""保持鸡舍内外环境清洁卫生"",""labels"":[""control""]},{""start"":30,""end"":36,""text"":""经常洗刷消毒"",""labels"":[""control""]},{""start"":37,""end"":43,""text"":""及时清理粪便"",""labels"":[""control""]},{""start"":44,""end"":52,""text"":""粪便用生物热消毒"",""labels"":[""control""]},{""start"":41,""end"":43,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":44,""end"":46,""text"":""粪便"",""labels"":[""bodypart""]}]",20.496,"加强饲养管理，保持鸡舍内外环境清洁卫生，饲槽、水槽和其他用具经常洗刷消毒，及时清理粪便，粪便用生物热消毒，杀死虫卵。","2024-01-29T15:24:57.110880Z"
1556,"1","2024-01-29T15:25:20.247439Z",1653,"[{""start"":0,""end"":13,""text"":""鸡场每年进行定期预防性驱虫"",""labels"":[""control""]},{""start"":23,""end"":29,""text"":""枸橡酸哌吡嗪"",""labels"":[""drug""]},{""start"":30,""end"":33,""text"":""驱蛔灵"",""labels"":[""drug""]},{""start"":40,""end"":42,""text"":""雏鸡"",""labels"":[""type""]},{""start"":75,""end"":78,""text"":""患病鸡"",""labels"":[""type""]}]",20.294,"鸡场每年进行定期预防性驱虫，可选用0.025%枸橡酸哌吡嗪(驱蛔灵)水溶液饮水，雏鸡周龄以后第一次驱虫，以后每年春季和秋季2次驱虫即可达到安全目的。对患病鸡应及时治疗。","2024-01-29T15:25:20.247439Z"
1557,"1","2024-01-29T15:25:42.399835Z",1654,"[{""start"":2,""end"":5,""text"":""驱蛔灵"",""labels"":[""drug""]},{""start"":16,""end"":18,""text"":""拌料"",""labels"":[""control""]},{""start"":23,""end"":25,""text"":""喂服"",""labels"":[""control""]}]",19.848,"选用驱蛔灵，每千克体重0.2克，拌料或饮水1次喂服；","2024-01-29T15:25:42.399835Z"
1558,"1","2024-01-29T15:26:00.698766Z",1655,"[{""start"":0,""end"":5,""text"":""硫化二苯胺"",""labels"":[""drug""]},{""start"":6,""end"":9,""text"":""酚塞嗪"",""labels"":[""drug""]},{""start"":11,""end"":14,""text"":""成年鸡"",""labels"":[""type""]},{""start"":24,""end"":27,""text"":""幼龄鸡"",""labels"":[""type""]},{""start"":37,""end"":43,""text"":""拌入料中混匀"",""labels"":[""control""]},{""start"":46,""end"":48,""text"":""喂服"",""labels"":[""control""]}]",15.411,"硫化二苯胺(酚塞嗪),成年鸡每千克体重0.5克，幼龄鸡每千克体重0.3克，拌入料中混匀，1次喂服；","2024-01-29T15:26:00.698766Z"
1559,"1","2024-01-29T15:26:15.158898Z",1656,"[{""start"":0,""end"":5,""text"":""丙硫苯咪唑"",""labels"":[""drug""]},{""start"":19,""end"":26,""text"":""混于饲料中喂服"",""labels"":[""control""]},{""start"":45,""end"":52,""text"":""混于饲料中喂服"",""labels"":[""control""]},{""start"":27,""end"":31,""text"":""左旋咪唑"",""labels"":[""drug""]}]",11.562,"丙硫苯咪唑，每千克体重20～40毫克，混于饲料中喂服；左旋咪唑，每千克体重25～30毫克，混于饲料中喂服。","2024-01-29T15:26:15.158898Z"
