"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1587,"1","2024-01-30T03:49:20.288872Z",1687,"[{""start"":0,""end"":3,""text"":""鸡霍乱"",""labels"":[""disease""]},{""start"":5,""end"":12,""text"":""多杀性巴氏杆菌"",""labels"":[""disease""]},{""start"":26,""end"":34,""text"":""急性出血性败血症"",""labels"":[""disease""]},{""start"":15,""end"":16,""text"":""鸡"",""labels"":[""type""]},{""start"":19,""end"":21,""text"":""家禽"",""labels"":[""type""]}]",17.119,"鸡霍乱是由多杀性巴氏杆菌引起的鸡和多种家禽共患的一种急性出血性败血症。","2024-01-30T03:49:20.288872Z"
1588,"1","2024-01-30T03:49:27.457553Z",1688,"[{""start"":11,""end"":13,""text"":""家禽"",""labels"":[""type""]}]",5.594,"(一)流行病学特征多种家禽共患。在饲养管理条件差的环境如拥挤、寒冷、潮湿、空气污浊、营养不良等情况下容易发生。","2024-01-30T03:49:27.457553Z"
1589,"1","2024-01-30T03:49:37.181295Z",1689,"[{""start"":4,""end"":7,""text"":""呼吸道"",""labels"":[""bodypart""]},{""start"":8,""end"":11,""text"":""消化道"",""labels"":[""bodypart""]},{""start"":13,""end"":15,""text"":""皮肤"",""labels"":[""bodypart""]}]",8.415,"主要通过呼吸道、消化道以及皮肤创伤感染。","2024-01-30T03:49:37.181295Z"
1590,"1","2024-01-30T03:49:51.149023Z",1690,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":6,""end"":9,""text"":""分泌物"",""labels"":[""bodypart""]},{""start"":10,""end"":13,""text"":""排泄物"",""labels"":[""bodypart""]}]",11.676,"病鸡的尸体、分泌物、排泄物和被污染的场地、饲料、饮水、用具等都是重要的传染源与传递因素。","2024-01-30T03:49:51.149023Z"
1591,"1","2024-01-30T03:51:11.338480Z",1691,"[{""start"":14,""end"":18,""text"":""急性经过"",""labels"":[""pathology""]},{""start"":19,""end"":21,""text"":""病鸡"",""labels"":[""type""]}]",76.899,"(二)临床症状、发病之初呈最急性经过，病鸡可以不表现任何症状而死亡。","2024-01-30T03:51:11.338480Z"
1592,"1","2024-01-30T03:54:54.744416Z",1692,"[{""start"":7,""end"":9,""text"":""病鸡"",""labels"":[""type""]},{""start"":19,""end"":23,""text"":""急性经过"",""labels"":[""pathology""]},{""start"":25,""end"":29,""text"":""精神委靡"",""labels"":[""symptom""]},{""start"":30,""end"":34,""text"":""孤立一隅"",""labels"":[""symptom""]},{""start"":35,""end"":37,""text"":""垂翅"",""labels"":[""symptom""]},{""start"":38,""end"":40,""text"":""缩颈"",""labels"":[""symptom""]},{""start"":41,""end"":43,""text"":""闭眼"",""labels"":[""symptom""]},{""start"":44,""end"":46,""text"":""弓背"",""labels"":[""symptom""]},{""start"":47,""end"":52,""text"":""头藏于翅下"",""labels"":[""symptom""]},{""start"":36,""end"":37,""text"":""翅"",""labels"":[""bodypart""]},{""start"":39,""end"":40,""text"":""颈"",""labels"":[""bodypart""]},{""start"":42,""end"":43,""text"":""眼"",""labels"":[""bodypart""]},{""start"":45,""end"":46,""text"":""背"",""labels"":[""bodypart""]},{""start"":47,""end"":48,""text"":""头"",""labels"":[""bodypart""]},{""start"":50,""end"":51,""text"":""翅"",""labels"":[""bodypart""]}]",218.193,"随着时间延长，病鸡的症状越来越明显，呈急性经过，如精神委靡，孤立一隅，垂翅、缩颈、闭眼、弓背或头藏于翅下。","2024-01-30T03:54:54.744416Z"
1593,"1","2024-01-30T04:05:52.052940Z",1693,"[{""start"":5,""end"":7,""text"":""腹泻"",""labels"":[""pathology""]},{""start"":8,""end"":16,""text"":""粪便呈灰黄或绿色"",""labels"":[""pathology""]},{""start"":14,""end"":16,""text"":""绿色"",""labels"":[""pathology""]},{""start"":11,""end"":13,""text"":""灰黄"",""labels"":[""pathology""]},{""start"":17,""end"":26,""text"":""肛周的羽毛黏有粪便"",""labels"":[""pathology""]},{""start"":27,""end"":31,""text"":""体温升高"",""labels"":[""pathology""]},{""start"":32,""end"":36,""text"":""食欲废绝"",""labels"":[""pathology""]},{""start"":37,""end"":41,""text"":""渴欲增加"",""labels"":[""pathology""]},{""start"":44,""end"":49,""text"":""髯旱黑紫色"",""labels"":[""pathology""]},{""start"":50,""end"":54,""text"":""呼吸加快"",""labels"":[""pathology""]},{""start"":55,""end"":62,""text"":""鼻腔分泌物增多"",""labels"":[""pathology""]},{""start"":63,""end"":67,""text"":""张嘴呼吸"",""labels"":[""pathology""]},{""start"":68,""end"":72,""text"":""很快死亡"",""labels"":[""pathology""]},{""start"":46,""end"":49,""text"":""黑紫色"",""labels"":[""pathology""]},{""start"":8,""end"":10,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":17,""end"":22,""text"":""肛周的羽毛"",""labels"":[""bodypart""]},{""start"":24,""end"":26,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":42,""end"":43,""text"":""冠"",""labels"":[""bodypart""]},{""start"":55,""end"":57,""text"":""鼻腔"",""labels"":[""bodypart""]},{""start"":64,""end"":65,""text"":""嘴"",""labels"":[""bodypart""]},{""start"":44,""end"":45,""text"":""髯"",""labels"":[""bodypart""]}]",670.548,"常有剧烈的腹泻，粪便呈灰黄或绿色，肛周的羽毛黏有粪便，体温升高，食欲废绝，渴欲增加，冠、髯旱黑紫色，呼吸加快，鼻腔分泌物增多，张嘴呼吸，很快死亡。","2024-01-30T04:06:13.009235Z"
1594,"1","2024-01-30T04:06:42.519919Z",1694,"[{""start"":3,""end"":5,""text"":""慢性"",""labels"":[""pathology""]},{""start"":9,""end"":12,""text"":""髯水肿"",""labels"":[""pathology""]},{""start"":10,""end"":12,""text"":""水肿"",""labels"":[""pathology""]},{""start"":13,""end"":17,""text"":""关节肿胀"",""labels"":[""pathology""]},{""start"":15,""end"":17,""text"":""肿胀"",""labels"":[""pathology""]},{""start"":18,""end"":22,""text"":""行走不便"",""labels"":[""pathology""]},{""start"":25,""end"":30,""text"":""呈蹲卧姿势"",""labels"":[""pathology""]},{""start"":7,""end"":8,""text"":""冠"",""labels"":[""bodypart""]},{""start"":9,""end"":10,""text"":""髯"",""labels"":[""bodypart""]},{""start"":13,""end"":15,""text"":""关节"",""labels"":[""bodypart""]}]",25.508,"如转为慢性，则冠、髯水肿，关节肿胀，行走不便，有时呈蹲卧姿势。","2024-01-30T04:06:42.519919Z"
1595,"1","2024-01-30T08:42:04.267143Z",1695,"[{""start"":8,""end"":22,""text"":""内脏器官均有大小不等的出血点"",""labels"":[""pathology""]},{""start"":19,""end"":22,""text"":""出血点"",""labels"":[""pathology""]},{""start"":23,""end"":28,""text"":""肝脏稍肿大"",""labels"":[""pathology""]},{""start"":26,""end"":28,""text"":""肿大"",""labels"":[""pathology""]},{""start"":29,""end"":47,""text"":""表面有灰百色或灰黄色针尖大小的坏死灶"",""labels"":[""pathology""]},{""start"":8,""end"":12,""text"":""内脏器官"",""labels"":[""bodypart""]},{""start"":23,""end"":25,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":32,""end"":35,""text"":""灰百色"",""labels"":[""pathology""]},{""start"":36,""end"":39,""text"":""灰黄色"",""labels"":[""pathology""]}]",33.857,"(三)病理变化、内脏器官均有大小不等的出血点，肝脏稍肿大，表面有灰百色或灰黄色针尖大小的坏死灶；","2024-01-30T08:42:04.267143Z"
1596,"1","2024-01-30T08:42:59.288846Z",1696,"[{""start"":0,""end"":4,""text"":""卵巢出血"",""labels"":[""pathology""]},{""start"":2,""end"":4,""text"":""出血"",""labels"":[""pathology""]},{""start"":5,""end"":10,""text"":""卵黄囊破裂"",""labels"":[""pathology""]},{""start"":8,""end"":10,""text"":""破裂"",""labels"":[""pathology""]},{""start"":19,""end"":28,""text"":""干酪样的卵黄样物质"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""卵巢"",""labels"":[""bodypart""]},{""start"":5,""end"":8,""text"":""卵黄囊"",""labels"":[""bodypart""]},{""start"":11,""end"":15,""text"":""腹腔脏器"",""labels"":[""bodypart""]}]",52.476,"卵巢出血，卵黄囊破裂，腹腔脏器表面附着干酪样的卵黄样物质。","2024-01-30T08:42:59.288846Z"
