"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
875,"1","2024-01-25T12:18:16.418659Z",897,"[{""start"":0,""end"":5,""text"":""黄曲霉毒素"",""labels"":[""disease""]},{""start"":6,""end"":9,""text"":""黄曲霉"",""labels"":[""disease""]},{""start"":32,""end"":37,""text"":""黄曲霉中毒"",""labels"":[""disease""]},{""start"":38,""end"":43,""text"":""人畜共患病"",""labels"":[""disease""]},{""start"":49,""end"":52,""text"":""黄曲霉"",""labels"":[""disease""]},{""start"":46,""end"":48,""text"":""家禽"",""labels"":[""type""]},{""start"":66,""end"":70,""text"":""肝脏受损"",""labels"":[""symptom""]},{""start"":68,""end"":70,""text"":""受损"",""labels"":[""symptom""]},{""start"":71,""end"":75,""text"":""全身出血"",""labels"":[""symptom""]},{""start"":76,""end"":80,""text"":""神经症状"",""labels"":[""symptom""]},{""start"":66,""end"":68,""text"":""肝脏"",""labels"":[""bodypart""]}]",49.875,"黄曲霉毒素是黄曲霉的代谢产物，广泛存在于发霉变质的食物和饲料中，黄曲霉中毒是人畜共患病之一。家禽对黄曲霉比较敏感，摄入大量则中毒。以肝脏受损、全身出血和神经症状等为特征。","2024-01-25T12:18:16.418659Z"
876,"1","2024-01-25T12:18:26.827600Z",898,"[{""start"":6,""end"":10,""text"":""黄曲霉菌"",""labels"":[""disease""]},{""start"":11,""end"":15,""text"":""寄生曲霉"",""labels"":[""disease""]},{""start"":65,""end"":68,""text"":""黄曲霉"",""labels"":[""disease""]}]",8.917,"由于采食了被黄曲霉菌或寄生曲霉等污染含有毒素的饲料而引起。各种饲料特别是玉米、花生粕、豆粕、棉籽饼、麸皮、小麦、大麦等作物最易感染黄曲霉。","2024-01-25T12:18:26.827600Z"
877,"1","2024-01-25T12:18:35.837334Z",899,"[{""start"":0,""end"":4,""text"":""黄曲霉菌"",""labels"":[""disease""]},{""start"":31,""end"":36,""text"":""黄曲霉毒素"",""labels"":[""disease""]}]",7.266,"黄曲霉菌广泛存在于自然界，在温暖潮湿的环境中最易生长繁殖，产生黄曲霉毒素。","2024-01-25T12:18:35.837334Z"
878,"1","2024-01-25T12:18:45.653434Z",900,"[{""start"":0,""end"":5,""text"":""黄曲霉毒素"",""labels"":[""disease""]},{""start"":56,""end"":59,""text"":""幼龄鸡"",""labels"":[""type""]}]",8.602,"黄曲霉毒素及其衍生物有20余种，引起家禽中毒的主要毒素有B₁、B₂、G₁、G₂、M₁、M₂,以B₁的毒性最强，以幼龄鸡为敏感。","2024-01-25T12:18:45.653434Z"
879,"1","2024-01-25T12:18:53.817440Z",901,"[{""start"":16,""end"":17,""text"":""鸡"",""labels"":[""type""]},{""start"":26,""end"":29,""text"":""发病鸡"",""labels"":[""type""]}]",6.605,"调查病因时可见凡吃食了可疑饲料的鸡与发病率呈正相关，发病鸡无传染性。","2024-01-25T12:18:53.817440Z"
880,"1","2024-01-25T12:19:23.933304Z",902,"[{""start"":5,""end"":7,""text"":""雏鸡"",""labels"":[""type""]},{""start"":10,""end"":14,""text"":""肉用仔鸡"",""labels"":[""type""]},{""start"":21,""end"":25,""text"":""急性中毒"",""labels"":[""pathology""]},{""start"":28,""end"":32,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":33,""end"":37,""text"":""食欲减退"",""labels"":[""symptom""]},{""start"":38,""end"":42,""text"":""消瘦虚弱"",""labels"":[""symptom""]},{""start"":43,""end"":47,""text"":""鸡冠苍白"",""labels"":[""symptom""]},{""start"":45,""end"":47,""text"":""苍白"",""labels"":[""symptom""]},{""start"":48,""end"":50,""text"":""凄叫"",""labels"":[""symptom""]},{""start"":51,""end"":60,""text"":""排淡绿色或白色稀粪"",""labels"":[""symptom""]},{""start"":56,""end"":58,""text"":""白色"",""labels"":[""symptom""]},{""start"":52,""end"":55,""text"":""淡绿色"",""labels"":[""symptom""]},{""start"":61,""end"":65,""text"":""有时带血"",""labels"":[""symptom""]},{""start"":43,""end"":45,""text"":""鸡冠"",""labels"":[""bodypart""]},{""start"":59,""end"":60,""text"":""粪"",""labels"":[""bodypart""]}]",28.708,"6周以下的雏鸡尤其是肉用仔鸡耐受量小，多为急性中毒。表现精神沉郁，食欲减退，消瘦虚弱，鸡冠苍白，凄叫，排淡绿色或白色稀粪，有时带血。","2024-01-25T12:19:23.933304Z"
881,"1","2024-01-25T12:19:58.037553Z",903,"[{""start"":0,""end"":3,""text"":""翅下垂"",""labels"":[""symptom""]},{""start"":1,""end"":3,""text"":""下垂"",""labels"":[""symptom""]},{""start"":4,""end"":8,""text"":""共济失调"",""labels"":[""symptom""]},{""start"":9,""end"":17,""text"":""呈角弓反张状死亡"",""labels"":[""symptom""]},{""start"":37,""end"":41,""text"":""产蛋减少"",""labels"":[""symptom""]},{""start"":42,""end"":47,""text"":""开产期推迟"",""labels"":[""symptom""]},{""start"":51,""end"":62,""text"":""极度消瘦的恶病质而死亡"",""labels"":[""symptom""]},{""start"":0,""end"":1,""text"":""翅"",""labels"":[""bodypart""]},{""start"":18,""end"":22,""text"":""青年蛋鸡"",""labels"":[""type""]},{""start"":23,""end"":26,""text"":""成年鸡"",""labels"":[""type""]}]",31.397,"翅下垂，共济失调，呈角弓反张状死亡。青年蛋鸡和成年鸡耐受性稍高，病情缓和，产蛋减少或开产期推迟，个别呈极度消瘦的恶病质而死亡。","2024-01-25T12:19:58.037553Z"
882,"1","2024-01-25T12:20:29.902082Z",904,"[{""start"":0,""end"":4,""text"":""急性中毒"",""labels"":[""pathology""]},{""start"":6,""end"":13,""text"":""皮下和肌肉出血"",""labels"":[""pathology""]},{""start"":11,""end"":13,""text"":""出血"",""labels"":[""pathology""]},{""start"":14,""end"":18,""text"":""肝脏充血"",""labels"":[""pathology""]},{""start"":16,""end"":18,""text"":""充血"",""labels"":[""pathology""]},{""start"":19,""end"":21,""text"":""肿大"",""labels"":[""pathology""]},{""start"":22,""end"":24,""text"":""出血"",""labels"":[""pathology""]},{""start"":25,""end"":27,""text"":""坏死"",""labels"":[""pathology""]},{""start"":28,""end"":30,""text"":""色黄"",""labels"":[""pathology""]},{""start"":31,""end"":35,""text"":""胆囊扩张"",""labels"":[""pathology""]},{""start"":33,""end"":35,""text"":""扩张"",""labels"":[""pathology""]},{""start"":6,""end"":8,""text"":""皮下"",""labels"":[""bodypart""]},{""start"":9,""end"":11,""text"":""肌肉"",""labels"":[""bodypart""]},{""start"":14,""end"":16,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":31,""end"":33,""text"":""胆囊"",""labels"":[""bodypart""]}]",29.977,"急性中毒表现皮下和肌肉出血。肝脏充血、肿大、出血及坏死，色黄，胆囊扩张。","2024-01-25T12:20:29.902082Z"
883,"1","2024-01-25T12:20:57.929614Z",905,"[{""start"":0,""end"":7,""text"":""肺普遍严重出血"",""labels"":[""pathology""]},{""start"":5,""end"":7,""text"":""出血"",""labels"":[""pathology""]},{""start"":8,""end"":10,""text"":""水肿"",""labels"":[""pathology""]},{""start"":11,""end"":20,""text"":""腺胃黏膜有点状出血"",""labels"":[""pathology""]},{""start"":16,""end"":20,""text"":""点状出血"",""labels"":[""pathology""]},{""start"":21,""end"":30,""text"":""十二指肠弥漫性出血"",""labels"":[""pathology""]},{""start"":25,""end"":30,""text"":""弥漫性出血"",""labels"":[""pathology""]},{""start"":31,""end"":36,""text"":""肾苍白肿大"",""labels"":[""pathology""]},{""start"":32,""end"":36,""text"":""苍白肿大"",""labels"":[""pathology""]},{""start"":0,""end"":1,""text"":""肺"",""labels"":[""bodypart""]},{""start"":11,""end"":15,""text"":""腺胃黏膜"",""labels"":[""bodypart""]},{""start"":21,""end"":25,""text"":""十二指肠"",""labels"":[""bodypart""]},{""start"":31,""end"":32,""text"":""肾"",""labels"":[""bodypart""]}]",26.414,"肺普遍严重出血、水肿。腺胃黏膜有点状出血，十二指肠弥漫性出血。肾苍白肿大。","2024-01-25T12:20:57.929614Z"
884,"1","2024-01-25T12:21:31.274243Z",906,"[{""start"":0,""end"":4,""text"":""慢性中毒"",""labels"":[""pathology""]},{""start"":6,""end"":9,""text"":""肝硬化"",""labels"":[""pathology""]},{""start"":7,""end"":9,""text"":""硬化"",""labels"":[""pathology""]},{""start"":10,""end"":12,""text"":""萎缩"",""labels"":[""pathology""]},{""start"":13,""end"":17,""text"":""呈黄土色"",""labels"":[""pathology""]},{""start"":22,""end"":28,""text"":""白色点状结节"",""labels"":[""pathology""]},{""start"":22,""end"":24,""text"":""白色"",""labels"":[""pathology""]},{""start"":29,""end"":33,""text"":""伴有腹水"",""labels"":[""pathology""]},{""start"":34,""end"":38,""text"":""心包积水"",""labels"":[""pathology""]},{""start"":36,""end"":38,""text"":""积水"",""labels"":[""pathology""]},{""start"":6,""end"":7,""text"":""肝"",""labels"":[""bodypart""]},{""start"":34,""end"":36,""text"":""心包"",""labels"":[""bodypart""]}]",31.811,"慢性中毒常见肝硬化、萎缩、呈黄土色，个别可见白色点状结节，伴有腹水。心包积水。","2024-01-25T12:21:31.275241Z"
885,"1","2024-01-25T12:21:49.979323Z",907,"[{""start"":3,""end"":5,""text"":""防霉"",""labels"":[""control""]},{""start"":49,""end"":53,""text"":""注意通凤"",""labels"":[""control""]}]",24.86,"(1)防霉。引起霉败的条件主要是水分和温度。因此，粮食收割后要防止雨淋，晾晒，贮藏控制温度、湿度，注意通凤。","2024-01-25T12:21:58.395692Z"
